policy,task_id,sample_index,difficulty,passed,why_not,thinking_tokens,total_new_tokens,hit_limit
thinking_on,lcb/1873_D,0,easy,False,wrong answer on test 1,8192,8192,True
thinking_on,lcb/2791,0,easy,False,NameError: name 'Solution' is not defined,8192,8192,True
thinking_on,lcb/2844,0,easy,True,,5772,5862,False
thinking_on,lcb/2857,0,easy,False,NameError: name 'Solution' is not defined,8192,8192,True
thinking_on,lcb/2866,0,easy,False,NameError: name 'Solution' is not defined,8192,8192,True
thinking_on,lcb/2886,0,easy,False,NameError: name 'Solution' is not defined,8189,8189,True
thinking_on,lcb/2998,0,easy,False,NameError: name 'Solution' is not defined,8192,8192,True
thinking_on,lcb/3093,0,easy,True,,688,785,False
thinking_on,lcb/3164,0,easy,False,NameError: name 'Solution' is not defined,8192,8192,True
thinking_on,lcb/3176,0,easy,False,NameError: name 'Solution' is not defined,8192,8192,True
thinking_on,lcb/3194,0,easy,True,,1770,1839,False
thinking_on,lcb/3226,0,easy,False,NameError: name 'Solution' is not defined,8192,8192,True
thinking_on,lcb/3251,0,easy,False,NameError: name 'Solution' is not defined,8192,8192,True
thinking_on,lcb/3263,0,easy,False,NameError: name 'List' is not defined. Did you mean: 'list'?,758,8192,True
thinking_on,lcb/3312,0,easy,False,NameError: name 'Solution' is not defined,8190,8190,True
thinking_on,lcb/3331,0,easy,False,NameError: name 'Solution' is not defined,8192,8192,True
thinking_on,lcb/abc307_a,0,easy,False,wrong answer on test 1,8192,8192,True
thinking_on,lcb/abc308_a,0,easy,False,wrong answer on test 1,8192,8192,True
thinking_on,lcb/abc308_b,0,easy,False,wrong answer on test 1,8192,8192,True
thinking_on,lcb/abc312_a,0,easy,True,,3739,3799,False
thinking_on,lcb/abc312_b,0,easy,False,wrong answer on test 1,8195,8195,True
thinking_on,lcb/abc313_a,0,easy,False,wrong answer on test 1,8192,8192,True
thinking_on,lcb/abc314_a,0,easy,False,wrong answer on test 1,8192,8192,True
thinking_on,lcb/abc315_a,0,easy,True,,4268,4299,False
thinking_on,lcb/abc319_b,0,easy,False,wrong answer on test 1,8192,8192,True
